#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#,,,,,,,,,
gun_6_x2_usa_cl,,152,gun_6_x2,usa,cl,,,,,,maine_gun_230_x2,1.004,1.13,0.86,45,maine_gun_230_x2,1.004,1.13,0.86,50,brooklyn_gun_152_x2,0.73,0.847,0.86,50,brooklyn_gun_b_152_x2,0.73,0.847,0.86,50,,,,,,,,,,,,,,,,,,,
gun_6_x3_usa_cl,,152,gun_6_x3,usa,cl,,,,,,maine_gun_230_x3,1.004,1.13,0.66,45,maine_gun_230_x3,1.004,1.13,0.66,50,brooklyn_gun_152_x3,0.73,0.847,0.66,50,brooklyn_gun_b_152_x3,0.73,0.847,0.66,50,,,,,,,,,,,,,,,,,,,
gun_6_x4_usa_cl,,152,gun_6_x4,usa,cl,,,,,,,,,,,,,,,,brooklyn_gun_152_x4,0.73,0.847,0.6,50,brooklyn_gun_b_152_x4,0.73,0.847,0.6,50,,,,,,,,,,,,,,,,,,,
"gun_3_x1_usa_ca,bb,bc",,76,gun_3_x1,usa,"ca, bb, bc",maine_gun_152_x1,0.718,0.912,1.45,45,,,,,,,,,,,iowa_gun_127_x1,0.7,0.88,1.45,55,iowa_gun_127_x1,0.7,0.88,1.45,55,,,,,,,,,,,,,,,,,,,
"gun_3_x2_usa_ca,bb,bc",,76,gun_3_x2,usa,"ca, bb, bc",maine_gun_152_x2,0.718,0.912,1.08,45,pen_gun_127_x2,0.815,1.04,1.08,50,maine_gun_230_x2,0.596,0.722,1.08,55,iowa_gun_127_x2,0.7,0.88,1.08,55,iowa_gun_127_x2,0.7,0.88,1.08,55,,,,,,,,,,,,,,,,,,,
"gun_3_x3_usa_ca,bb,bc",,76,gun_3_x3,usa,"ca, bb, bc",maine_gun_152_x3,0.718,0.912,0.83,45,pen_gun_127_x3,0.815,1.04,0.83,50,maine_gun_230_x3,0.596,0.722,0.83,55,iowa_gun_127_x3,0.7,0.88,0.83,55,iowa_gun_127_x3,0.7,0.88,0.83,55,,,,,,,,,,,,,,,,,,,
"gun_3_x4_usa_ca,bb,bc",,76,gun_3_x4,usa,"ca, bb, bc",,,,,,,,,,,,,,,,iowa_gun_127_x4,0.7,0.88,0.74,55,iowa_gun_127_x4,0.7,0.88,0.74,55,,,,,,,,,,,,,,,,,,,
"gun_4_x1_usa_ca,bb,bc",,102,gun_4_x1,usa,"ca, bb, bc",maine_gun_152_x1,0.932,1.126,1.7,45,pen_gun_127_x1,1.06,1.285,1.7,50,,,,,,iowa_gun_b_127_x1,0.8,0.98,1.7,55,iowa_gun_b_127_x1,0.8,0.98,1.7,55,,,,,,,,,,,,,,,,,,,
"gun_4_x2_usa_ca,bb,bc",,102,gun_4_x2,usa,"ca, bb, bc",maine_gun_152_x2,0.932,1.126,1.28,45,pen_gun_127_x2,1.06,1.285,1.28,50,maine_gun_230_x2,0.732,0.858,1.28,55,iowa_gun_b_127_x2,0.8,0.98,1.28,55,iowa_gun_b_127_x2,0.8,0.98,1.28,55,,,,,,,,,,,,,,,,,,,
"gun_4_x3_usa_ca,bb,bc",,102,gun_4_x3,usa,"ca, bb, bc",maine_gun_152_x3,0.932,1.126,1,45,pen_gun_127_x3,1.06,1.285,1,50,maine_gun_230_x3,0.732,0.858,1,55,iowa_gun_b_127_x3,0.8,0.98,1,55,iowa_gun_b_127_x3,0.8,0.98,1,55,,,,,,,,,,,,,,,,,,,
"gun_4_x4_usa_ca,bb,bc",,102,gun_4_x4,usa,"ca, bb, bc",,,,,,,,,,,,,,,,iowa_gun_b_127_x4,0.8,0.98,0.85,55,iowa_gun_b_127_x4,0.8,0.98,0.85,55,,,,,,,,,,,,,,,,,,,
"gun_5_x1_usa_ca,bb,bc",,127,gun_5_x1,usa,"ca, bb, bc",maine_gun_152_x1,1.146,1.34,1.25,45,pen_gun_127_x1,1.305,1.53,1.25,50,,,,,,iowa_gun_b_127_x1,1,1.18,1.25,55,iowa_gun_b_127_x1,1,1.18,1.25,55,,,,,,,,,,,,,,,,,,,
"gun_5_x2_usa_ca,bb,bc",,127,gun_5_x2,usa,"ca, bb, bc",maine_gun_152_x2,1.146,1.34,0.95,45,pen_gun_127_x2,1.305,1.53,0.95,50,maine_gun_230_x2,0.868,0.994,0.95,55,iowa_gun_b_127_x2,1,1.18,0.95,55,iowa_gun_b_127_x2,1,1.18,0.95,55,,,,,,,,,,,,,,,,,,,
"gun_5_x3_usa_ca,bb,bc",,127,gun_5_x3,usa,"ca, bb, bc",maine_gun_152_x3,1.146,1.34,0.75,45,pen_gun_127_x3,1.305,1.53,0.75,50,maine_gun_230_x3,0.868,0.994,0.75,55,iowa_gun_b_127_x3,1,1.18,0.75,55,iowa_gun_b_127_x3,1,1.18,0.75,55,,,,,,,,,,,,,,,,,,,
"gun_5_x4_usa_ca,bb,bc",,127,gun_5_x4,usa,"ca, bb, bc",,,,,,,,,,,,,,,,iowa_gun_b_127_x4,1,1.18,0.68,55,iowa_gun_b_127_x4,1,1.18,0.68,55,,,,,,,,,,,,,,,,,,,
"gun_6_x1_usa_ca,bb,bc",,152,gun_6_x1,usa,"ca, bb, bc",maine_gun_152_x1,1.36,1.554,1.185,45,pen_gun_127_x1,1.55,1.775,1.185,45,,,,,,brooklyn_gun_152_x1,0.73,0.847,1.185,50,brooklyn_gun_b_152_x1,0.73,0.847,1.185,50,,,,,,,,,,,,,,,,,,,
"gun_6_x2_usa_ca,bb,bc",,152,gun_6_x2,usa,"ca, bb, bc",maine_gun_152_x2,1.36,1.554,0.86,45,pen_gun_127_x2,1.55,1.775,0.86,45,maine_gun_230_x2,1.004,1.13,0.86,50,brooklyn_gun_152_x2,0.73,0.847,0.86,50,brooklyn_gun_b_152_x2,0.73,0.847,0.86,50,,,,,,,,,,,,,,,,,,,
"gun_6_x3_usa_ca,bb,bc",,152,gun_6_x3,usa,"ca, bb, bc",maine_gun_152_x3,1.36,1.554,0.66,45,pen_gun_127_x3,1.55,1.775,0.66,45,maine_gun_230_x3,1.004,1.13,0.66,50,brooklyn_gun_152_x3,0.73,0.847,0.66,50,brooklyn_gun_b_152_x3,0.73,0.847,0.66,50,,,,,,,,,,,,,,,,,,,
"gun_6_x4_usa_ca,bb,bc",,152,gun_6_x4,usa,"ca, bb, bc",,,,,,,,,,,,,,,,brooklyn_gun_152_x4,0.73,0.847,0.6,50,brooklyn_gun_b_152_x4,0.73,0.847,0.6,50,,,,,,,,,,,,,,,,,,,
"gun_7_x1_usa_cl,ca,bb,bc",,178,gun_7_x1,usa,"cl, ca, bb, bc",maine_gun_254_x1_a,0.755,0.85,1.21,45,ny_gun_210_x1,1.1095,1.244,1.21,45,ny_gun_210_x1,1.1095,1.244,1.21,50,brooklyn_gun_152_x1,0.857,0.974,1.21,50,brooklyn_gun_b_152_x1,0.857,0.974,1.21,50,,,,,,,,,,,,,,,,,,,
"gun_7_x2_usa_cl,ca,bb,bc",,178,gun_7_x2,usa,"cl, ca, bb, bc",maine_gun_254_x2_a,0.755,0.85,0.9,45,ny_gun_210_x2,1.1095,1.244,0.9,45,ny_gun_210_x2,1.1095,1.244,0.9,50,brooklyn_gun_152_x2,0.857,0.974,0.9,50,brooklyn_gun_b_152_x2,0.857,0.974,0.9,50,,,,,,,,,,,,,,,,,,,
"gun_7_x3_usa_cl,ca,bb,bc",,178,gun_7_x3,usa,"cl, ca, bb, bc",maine_gun_254_x3_a,0.755,0.85,0.705,45,ny_gun_210_x3,1.1095,1.244,0.705,45,ny_gun_210_x3,1.1095,1.244,0.705,50,brooklyn_gun_152_x3,0.857,0.974,0.705,50,brooklyn_gun_b_152_x3,0.857,0.974,0.705,50,,,,,,,,,,,,,,,,,,,
"gun_7_x4_usa_cl,ca,bb,bc",,178,gun_7_x4,usa,"cl, ca, bb, bc",,,,,,,,,,,,,,,,brooklyn_gun_152_x4,0.857,0.974,0.64,50,brooklyn_gun_b_152_x4,0.857,0.974,0.64,50,,,,,,,,,,,,,,,,,,,
"gun_8_x1_usa_ca,bb,bc",,203,gun_8_x1,usa,"ca, bb, bc",maine_gun_254_x1_a,0.86,0.955,1.17,45,ny_gun_210_x1,1.264,1.3985,1.17,45,ny_gun_210_x1,1.264,1.3985,1.17,50,brooklyn_gun_152_x1,0.984,1.101,1.17,50,brooklyn_gun_b_152_x1,0.984,1.101,1.17,50,,,,,,,,,,,,,,,,,,,
"gun_8_x2_usa_ca,bb,bc",,203,gun_8_x2,usa,"ca, bb, bc",maine_gun_254_x2_a,0.86,0.955,0.88,45,ny_gun_210_x2,1.264,1.3985,0.88,45,ny_gun_210_x2,1.264,1.3985,0.88,50,brooklyn_gun_152_x2,0.984,1.101,0.88,50,brooklyn_gun_b_152_x2,0.984,1.101,0.88,50,,,,,,,,,,,,,,,,,,,
"gun_8_x3_usa_ca,bb,bc",,203,gun_8_x3,usa,"ca, bb, bc",maine_gun_254_x3_a,0.86,0.955,0.69,45,ny_gun_210_x3,1.264,1.3985,0.69,45,ny_gun_210_x3,1.264,1.3985,0.69,50,brooklyn_gun_152_x3,0.984,1.101,0.69,50,brooklyn_gun_b_152_x3,0.984,1.101,0.69,50,,,,,,,,,,,,,,,,,,,
"gun_8_x4_usa_ca,bb,bc",,203,gun_8_x4,usa,"ca, bb, bc",,,,,,,,,,,,,,,,brooklyn_gun_152_x4,0.984,1.101,0.63,50,brooklyn_gun_b_152_x4,0.984,1.101,0.63,50,,,,,,,,,,,,,,,,,,,
"gun_9_x1_usa_ca,bb,bc",,229,gun_9_x1,usa,"ca, bb, bc",maine_gun_254_x1_a,0.965,1.06,1.1,40,ny_gun_210_x1,1.4185,1.553,1.1,45,ny_gun_210_x1,1.4185,1.553,1.1,45,brooklyn_gun_152_x1,1.111,1.228,1.1,45,brooklyn_gun_b_152_x1,1.111,1.228,1.1,50,,,,,,,,,,,,,,,,,,,
"gun_9_x2_usa_ca,bb,bc",,229,gun_9_x2,usa,"ca, bb, bc",maine_gun_254_x2_a,0.965,1.06,0.82,40,ny_gun_210_x2,1.4185,1.553,0.82,45,ny_gun_210_x2,1.4185,1.553,0.82,45,brooklyn_gun_152_x2,1.111,1.228,0.82,45,brooklyn_gun_b_152_x2,1.111,1.228,0.82,50,,,,,,,,,,,,,,,,,,,
"gun_9_x3_usa_ca,bb,bc",,229,gun_9_x3,usa,"ca, bb, bc",maine_gun_254_x3_a,0.965,1.06,0.64,40,ny_gun_210_x3,1.4185,1.553,0.64,45,ny_gun_210_x3,1.4185,1.553,0.64,45,brooklyn_gun_152_x3,1.111,1.228,0.64,45,brooklyn_gun_b_152_x3,1.111,1.228,0.64,50,,,,,,,,,,,,,,,,,,,
"gun_9_x4_usa_ca,bb,bc",,229,gun_9_x4,usa,"ca, bb, bc",,,,,,,,,,,,,,,,brooklyn_gun_152_x4,1.111,1.228,0.58,45,brooklyn_gun_b_152_x4,1.111,1.228,0.58,50,,,,,,,,,,,,,,,,,,,
"gun_10_x1_usa_ca,bb,bc",,254,gun_10_x1,usa,"ca, bb, bc",maine_gun_254_x1_a,1.07,1.165,1.2,40,ny_gun_356_x1,0.954,1.035,1.2,45,arizona_gun_356_x1,0.954,1.035,1.2,45,iowa_gun_406_x1,0.595,0.64,1.2,45,iowa_gun_406_x1,0.595,0.64,1.2,50,,,,,,,,,,,,,,,,,,,
"gun_10_x2_usa_ca,bb,bc",,254,gun_10_x2,usa,"ca, bb, bc",maine_gun_254_x2_a,1.07,1.165,0.9,40,ny_gun_356_x2,0.954,1.035,0.9,45,arizona_gun_356_x2,0.954,1.035,0.9,45,iowa_gun_406_x2,0.595,0.64,0.9,45,iowa_gun_406_x2,0.595,0.64,0.9,50,,,,,,,,,,,,,,,,,,,
"gun_10_x3_usa_ca,bb,bc",,254,gun_10_x3,usa,"ca, bb, bc",maine_gun_254_x3_a,1.07,1.165,0.68,40,ny_gun_356_x3,0.954,1.035,0.68,45,arizona_gun_356_x3,0.954,1.035,0.68,45,iowa_gun_406_x3,0.595,0.64,0.68,45,iowa_gun_406_x3,0.595,0.64,0.68,50,,,,,,,,,,,,,,,,,,,
"gun_10_x4_usa_ca,bb,bc",,254,gun_10_x4,usa,"ca, bb, bc",,,,,,ny_gun_356_x4,0.954,1.035,0.63,45,arizona_gun_356_x4,0.954,1.035,0.63,45,iowa_gun_406_x4,0.595,0.64,0.63,45,iowa_gun_406_x4,0.595,0.64,0.63,50,,,,,,,,,,,,,,,,,,,
"gun_11_x1_usa_ca,bb,bc",,279,gun_11_x1,usa,"ca, bb, bc",maine_gun_254_x1_a,1.175,1.27,1.07,40,ny_gun_356_x1,1.045,1.126,1.07,45,arizona_gun_356_x1,1.045,1.126,1.07,45,iowa_gun_406_x1,0.645,0.69,1.07,45,iowa_gun_406_x1,0.645,0.69,1.07,50,,,,,,,,,,,,,,,,,,,
"gun_11_x2_usa_ca,bb,bc",,279,gun_11_x2,usa,"ca, bb, bc",maine_gun_254_x2_a,1.175,1.27,0.82,40,ny_gun_356_x2,1.045,1.126,0.82,45,arizona_gun_356_x2,1.045,1.126,0.82,45,iowa_gun_406_x2,0.645,0.69,0.82,45,iowa_gun_406_x2,0.645,0.69,0.82,50,,,,,,,,,,,,,,,,,,,
"gun_11_x3_usa_ca,bb,bc",,279,gun_11_x3,usa,"ca, bb, bc",maine_gun_254_x3_a,1.175,1.27,0.66,40,ny_gun_356_x3,1.045,1.126,0.66,45,arizona_gun_356_x3,1.045,1.126,0.66,45,iowa_gun_406_x3,0.645,0.69,0.66,45,iowa_gun_406_x3,0.645,0.69,0.66,50,,,,,,,,,,,,,,,,,,,
"gun_11_x4_usa_ca,bb,bc",,279,gun_11_x4,usa,"ca, bb, bc",,,,,,ny_gun_356_x4,1.045,1.126,0.61,45,arizona_gun_356_x4,1.045,1.126,0.61,45,iowa_gun_406_x4,0.645,0.69,0.61,45,iowa_gun_406_x4,0.645,0.69,0.61,50,,,,,,,,,,,,,,,,,,,
"gun_12_x1_usa_bb,bc",,305,gun_12_x1,usa,"bb, bc",maine_gun_254_x1_a,1.28,1.375,1.07,40,ny_gun_356_x1,1.136,1.217,1.07,45,arizona_gun_356_x1,1.136,1.217,1.07,45,iowa_gun_406_x1,0.695,0.74,1.07,45,iowa_gun_406_x1,0.695,0.74,1.07,50,,,,,,,,,,,,,,,,,,,
"gun_12_x2_usa_bb,bc",,305,gun_12_x2,usa,"bb, bc",maine_gun_254_x2_a,1.28,1.375,0.82,40,ny_gun_356_x2,1.136,1.217,0.82,45,arizona_gun_356_x2,1.136,1.217,0.82,45,iowa_gun_406_x2,0.695,0.74,0.82,45,iowa_gun_406_x2,0.695,0.74,0.82,50,,,,,,,,,,,,,,,,,,,
"gun_12_x3_usa_bb,bc",,305,gun_12_x3,usa,"bb, bc",maine_gun_254_x3_a,1.28,1.375,0.66,40,ny_gun_356_x3,1.136,1.217,0.66,45,arizona_gun_356_x3,1.136,1.217,0.66,45,iowa_gun_406_x3,0.695,0.74,0.66,45,iowa_gun_406_x3,0.695,0.74,0.66,50,,,,,,,,,,,,,,,,,,,
"gun_12_x4_usa_bb,bc",,305,gun_12_x4,usa,"bb, bc",,,,,,ny_gun_356_x4,1.136,1.217,0.61,45,arizona_gun_356_x4,1.136,1.217,0.61,45,iowa_gun_406_x4,0.695,0.74,0.61,45,iowa_gun_406_x4,0.695,0.74,0.61,50,,,,,,,,,,,,,,,,,,,
"gun_13_x1_usa_bb,bc",,330,gun_13_x1,usa,"bb, bc",maine_gun_254_x1_a,1.385,1.48,1.13,40,ny_gun_356_x1,1.227,1.308,1.13,45,arizona_gun_356_x1,1.227,1.308,1.13,45,iowa_gun_406_x1,0.745,0.79,1.13,45,iowa_gun_406_x1,0.745,0.79,1.13,50,,,,,,,,,,,,,,,,,,,
"gun_13_x2_usa_bb,bc",,330,gun_13_x2,usa,"bb, bc",maine_gun_254_x2_a,1.385,1.48,0.88,40,ny_gun_356_x2,1.227,1.308,0.88,45,arizona_gun_356_x2,1.227,1.308,0.88,45,iowa_gun_406_x2,0.745,0.79,0.88,45,iowa_gun_406_x2,0.745,0.79,0.88,50,,,,,,,,,,,,,,,,,,,
"gun_13_x3_usa_bb,bc",,330,gun_13_x3,usa,"bb, bc",maine_gun_254_x3_a,1.385,1.48,0.705,40,ny_gun_356_x3,1.227,1.308,0.705,45,arizona_gun_356_x3,1.227,1.308,0.705,45,iowa_gun_406_x3,0.745,0.79,0.705,45,iowa_gun_406_x3,0.745,0.79,0.705,50,,,,,,,,,,,,,,,,,,,
"gun_13_x4_usa_bb,bc",,330,gun_13_x4,usa,"bb, bc",,,,,,ny_gun_356_x4,1.227,1.308,0.65,45,arizona_gun_356_x4,1.227,1.308,0.65,45,iowa_gun_406_x4,0.745,0.79,0.65,45,iowa_gun_406_x4,0.745,0.79,0.65,50,,,,,,,,,,,,,,,,,,,
"gun_14_x1_usa_bb,bc",,356,gun_14_x1,usa,"bb, bc",maine_gun_254_x1_a,1.49,1.585,1.13,40,ny_gun_356_x1,1.318,1.399,1.13,45,arizona_gun_356_x1,1.318,1.399,1.13,45,iowa_gun_406_x1,0.795,0.84,1.13,45,iowa_gun_406_x1,0.795,0.84,1.13,50,,,,,,,,,,,,,,,,,,,
"gun_14_x2_usa_bb,bc",,356,gun_14_x2,usa,"bb, bc",maine_gun_254_x2_a,1.49,1.585,0.88,40,ny_gun_356_x2,1.318,1.399,0.88,45,arizona_gun_356_x2,1.318,1.399,0.88,45,iowa_gun_406_x2,0.795,0.84,0.88,45,iowa_gun_406_x2,0.795,0.84,0.88,50,,,,,,,,,,,,,,,,,,,
"gun_14_x3_usa_bb,bc",,356,gun_14_x3,usa,"bb, bc",maine_gun_254_x3_a,1.49,1.585,0.705,40,ny_gun_356_x3,1.318,1.399,0.705,45,arizona_gun_356_x3,1.318,1.399,0.705,45,iowa_gun_406_x3,0.795,0.84,0.705,45,iowa_gun_406_x3,0.795,0.84,0.705,50,,,,,,,,,,,,,,,,,,,
"gun_14_x4_usa_bb,bc",,356,gun_14_x4,usa,"bb, bc",,,,,,ny_gun_356_x4,1.318,1.399,0.66,45,arizona_gun_356_x4,1.318,1.399,0.66,45,iowa_gun_406_x4,0.795,0.84,0.66,45,iowa_gun_406_x4,0.795,0.84,0.66,50,,,,,,,,,,,,,,,,,,,
"gun_15_x1_usa_bb,bc",,381,gun_15_x1,usa,"bb, bc",maine_gun_254_x1,1.595,1.69,1.14,40,ny_gun_356_x1,1.409,1.49,1.14,45,arizona_gun_356_x1,1.409,1.49,1.14,45,iowa_gun_406_x1,0.845,0.89,1.14,45,iowa_gun_406_x1,0.845,0.89,1.14,50,,,,,,,,,,,,,,,,,,,
"gun_15_x2_usa_bb,bc",,381,gun_15_x2,usa,"bb, bc",maine_gun_254_x2,1.595,1.69,0.9,40,ny_gun_356_x2,1.409,1.49,0.9,45,arizona_gun_356_x2,1.409,1.49,0.9,45,iowa_gun_406_x2,0.845,0.89,0.9,45,iowa_gun_406_x2,0.845,0.89,0.9,50,,,,,,,,,,,,,,,,,,,
"gun_15_x3_usa_bb,bc",,381,gun_15_x3,usa,"bb, bc",maine_gun_254_x3,1.595,1.69,0.72,40,ny_gun_356_x3,1.409,1.49,0.72,45,arizona_gun_356_x3,1.409,1.49,0.72,45,iowa_gun_406_x3,0.845,0.89,0.72,45,iowa_gun_406_x3,0.845,0.89,0.72,50,,,,,,,,,,,,,,,,,,,
"gun_15_x4_usa_bb,bc",,381,gun_15_x4,usa,"bb, bc",,,,,,ny_gun_356_x4,1.409,1.49,0.675,45,arizona_gun_356_x4,1.409,1.49,0.675,45,iowa_gun_406_x4,0.845,0.89,0.675,45,iowa_gun_406_x4,0.845,0.89,0.675,50,,,,,,,,,,,,,,,,,,,
"gun_16_x1_usa_bb,bc",,406,gun_16_x1,usa,"bb, bc",maine_gun_254_x1,1.7,1.795,1.15,40,ny_gun_356_x1,1.5,1.581,1.15,45,arizona_gun_356_x1,1.5,1.581,1.15,45,iowa_gun_406_x1,0.895,0.94,1.15,45,iowa_gun_406_x1,0.895,0.94,1.15,50,,,,,,,,,,,,,,,,,,,
"gun_16_x2_usa_bb,bc",,406,gun_16_x2,usa,"bb, bc",maine_gun_254_x2,1.7,1.795,0.93,40,ny_gun_356_x2,1.5,1.581,0.93,45,arizona_gun_356_x2,1.5,1.581,0.93,45,iowa_gun_406_x2,0.895,0.94,0.93,45,iowa_gun_406_x2,0.895,0.94,0.93,50,,,,,,,,,,,,,,,,,,,
"gun_16_x3_usa_bb,bc",,406,gun_16_x3,usa,"bb, bc",maine_gun_254_x3,1.7,1.795,0.75,40,ny_gun_356_x3,1.5,1.581,0.75,45,arizona_gun_356_x3,1.5,1.581,0.75,45,iowa_gun_406_x3,0.895,0.94,0.75,45,iowa_gun_406_x3,0.895,0.94,0.75,50,,,,,,,,,,,,,,,,,,,
"gun_16_x4_usa_bb,bc",,406,gun_16_x4,usa,"bb, bc",,,,,,ny_gun_356_x4,1.5,1.581,0.68,45,arizona_gun_356_x4,1.5,1.581,0.68,45,iowa_gun_406_x4,0.895,0.94,0.68,45,iowa_gun_406_x4,0.895,0.94,0.68,50,,,,,,,,,,,,,,,,,,,
"gun_17_x1_usa_bb,bc",,432,gun_17_x1,usa,"bb, bc",ny_gun_356_x1,1.591,1.672,1.2,40,arizona_gun_356_x1,1.591,1.672,1.2,45,iowa_gun_406_x1,0.945,0.99,1.2,45,iowa_gun_406_x1,0.945,0.99,1.2,45,iowa_gun_406_x1,0.945,0.99,1.2,50,,,,,,,,,,,,,,,,,,,
"gun_17_x2_usa_bb,bc",,432,gun_17_x2,usa,"bb, bc",ny_gun_356_x2,1.591,1.672,0.95,40,arizona_gun_356_x2,1.591,1.672,0.95,45,iowa_gun_406_x2,0.945,0.99,0.95,45,iowa_gun_406_x2,0.945,0.99,0.95,45,iowa_gun_406_x2,0.945,0.99,0.95,50,,,,,,,,,,,,,,,,,,,
"gun_17_x3_usa_bb,bc",,432,gun_17_x3,usa,"bb, bc",ny_gun_356_x3,1.591,1.672,0.775,40,arizona_gun_356_x3,1.591,1.672,0.775,45,iowa_gun_406_x3,0.945,0.99,0.775,45,iowa_gun_406_x3,0.945,0.99,0.775,45,iowa_gun_406_x3,0.945,0.99,0.775,50,,,,,,,,,,,,,,,,,,,
"gun_17_x4_usa_bb,bc",,432,gun_17_x4,usa,"bb, bc",ny_gun_356_x4,1.591,1.672,0.71,40,arizona_gun_356_x4,1.591,1.672,0.71,45,iowa_gun_406_x4,0.945,0.99,0.71,45,iowa_gun_406_x4,0.945,0.99,0.71,45,iowa_gun_406_x4,0.945,0.99,0.71,50,,,,,,,,,,,,,,,,,,,
"gun_18_x1_usa_bb,bc",,457,gun_18_x1,usa,"bb, bc",ny_gun_356_x1,1.682,1.763,1.23,40,arizona_gun_356_x1,1.682,1.763,1.23,45,iowa_gun_406_x1,0.995,1.04,1.23,45,iowa_gun_406_x1,0.995,1.04,1.23,45,iowa_gun_406_x1,0.995,1.04,1.23,50,,,,,,,,,,,,,,,,,,,
"gun_18_x2_usa_bb,bc",,457,gun_18_x2,usa,"bb, bc",ny_gun_356_x2,1.682,1.763,0.985,40,arizona_gun_356_x2,1.682,1.763,0.985,45,iowa_gun_406_x2,0.995,1.04,0.985,45,iowa_gun_406_x2,0.995,1.04,0.985,45,iowa_gun_406_x2,0.995,1.04,0.985,50,,,,,,,,,,,,,,,,,,,
"gun_18_x3_usa_bb,bc",,457,gun_18_x3,usa,"bb, bc",ny_gun_356_x3,1.682,1.763,0.81,40,arizona_gun_356_x3,1.682,1.763,0.81,45,iowa_gun_406_x3,0.995,1.04,0.81,45,iowa_gun_406_x3,0.995,1.04,0.81,45,iowa_gun_406_x3,0.995,1.04,0.81,50,,,,,,,,,,,,,,,,,,,
"gun_18_x4_usa_bb,bc",,457,gun_18_x4,usa,"bb, bc",ny_gun_356_x4,1.682,1.763,0.735,40,arizona_gun_356_x4,1.682,1.763,0.735,45,iowa_gun_406_x4,0.995,1.04,0.735,45,iowa_gun_406_x4,0.995,1.04,0.735,45,iowa_gun_406_x4,0.995,1.04,0.735,50,,,,,,,,,,,,,,,,,,,
"gun_19_x1_usa_bb,bc",,483,gun_19_x1,usa,"bb, bc",ny_gun_356_x1,1.773,1.854,1.16,40,arizona_gun_356_x1,1.773,1.854,1.16,45,iowa_gun_406_x1,1.045,1.09,1.16,45,iowa_gun_406_x1,1.045,1.09,1.16,45,iowa_gun_406_x1,1.045,1.09,1.16,50,,,,,,,,,,,,,,,,,,,
"gun_19_x2_usa_bb,bc",,483,gun_19_x2,usa,"bb, bc",ny_gun_356_x2,1.773,1.854,0.95,40,arizona_gun_356_x2,1.773,1.854,0.95,45,iowa_gun_406_x2,1.045,1.09,0.95,45,iowa_gun_406_x2,1.045,1.09,0.95,45,iowa_gun_406_x2,1.045,1.09,0.95,50,,,,,,,,,,,,,,,,,,,
"gun_19_x3_usa_bb,bc",,483,gun_19_x3,usa,"bb, bc",ny_gun_356_x3,1.773,1.854,0.78,40,arizona_gun_356_x3,1.773,1.854,0.78,45,iowa_gun_406_x3,1.045,1.09,0.78,45,iowa_gun_406_x3,1.045,1.09,0.78,45,iowa_gun_406_x3,1.045,1.09,0.78,50,,,,,,,,,,,,,,,,,,,
"gun_19_x4_usa_bb,bc",,483,gun_19_x4,usa,"bb, bc",ny_gun_356_x4,1.773,1.854,0.725,40,arizona_gun_356_x4,1.773,1.854,0.725,45,iowa_gun_406_x4,1.045,1.09,0.725,45,iowa_gun_406_x4,1.045,1.09,0.725,45,iowa_gun_406_x4,1.045,1.09,0.725,50,,,,,,,,,,,,,,,,,,,
"gun_20_x1_usa_bb,bc",,508,gun_20_x1,usa,"bb, bc",ny_gun_356_x1,1.864,1.945,1.05,40,arizona_gun_356_x1,1.864,1.945,1.05,45,iowa_gun_406_x1,1.095,1.14,1.05,45,iowa_gun_406_x1,1.095,1.14,1.05,45,iowa_gun_406_x1,1.095,1.14,1.05,50,,,,,,,,,,,,,,,,,,,
"gun_20_x2_usa_bb,bc",,508,gun_20_x2,usa,"bb, bc",ny_gun_356_x2,1.864,1.945,0.85,40,arizona_gun_356_x2,1.864,1.945,0.85,45,iowa_gun_406_x2,1.095,1.14,0.85,45,iowa_gun_406_x2,1.095,1.14,0.85,45,iowa_gun_406_x2,1.095,1.14,0.85,50,,,,,,,,,,,,,,,,,,,
"gun_20_x3_usa_bb,bc",,508,gun_20_x3,usa,"bb, bc",ny_gun_356_x3,1.864,1.945,0.7,40,arizona_gun_356_x3,1.864,1.945,0.7,45,iowa_gun_406_x3,1.095,1.14,0.7,45,iowa_gun_406_x3,1.095,1.14,0.7,45,iowa_gun_406_x3,1.095,1.14,0.7,50,,,,,,,,,,,,,,,,,,,
"gun_20_x4_usa_bb,bc",,508,gun_20_x4,usa,"bb, bc",ny_gun_356_x4,1.864,1.945,0.65,40,arizona_gun_356_x4,1.864,1.945,0.65,45,iowa_gun_406_x4,1.095,1.14,0.65,45,iowa_gun_406_x4,1.095,1.14,0.65,45,iowa_gun_406_x4,1.095,1.14,0.65,50,,,,,,,,,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
