# Index,Enabled,Part ID,Mount Rotation,Position,Mount Position Type,Valid Part Types,Min Caliber,Max Caliber,Min Barrel #,Max Barrel #,Collision Checks,Left Fire Angle Override,Right Fire Angle Override,Orient Fire Arc?,Rotate Same?,# Comment 1,# Comment 2
#,,,(0-360),"(x: +Starboard/-Port, y: +Up/-Down, z: Fore/Aft)","(any, center, side)",See Comment,"in, 0 = all","in, 0 = all",0 = all,0 = all,See Comment,See Comment,See Comment,fore/aft or starboard/port. No clue what it does.,1=true/0=false. No clue what it does.,,
@index,enabled,parent,rotation,position,mount_pos_type,accepts,caliber_min,caliber_max,barrels_min,barrels_max,collision,angle_left,angle_right,orientation,rotate_same,,
# inflex_hull_f/Visual/Sections,,,,,,,,,,,,,,,,,
1,,inflex_hull_f/Visual/Sections/Middle1,270,"(-11.3610, -1.4000, 0.7000)",,sub_torpedo,,,,,,-40,40,,1,,
2,,inflex_hull_f/Visual/Sections/Middle1,90,"(11.3610, -1.4000, 0.7000)",,sub_torpedo,,,,,,-40,40,,1,,
3,,inflex_hull_f/Visual/Sections/Middle1,270,"(-11.0000, 6.2000, 0.7900)",,casemate,,,,,"ignore_collision_check,ignore_parent",-70,70,,1,,
4,,inflex_hull_f/Visual/Sections/Middle1,90,"(11.0000, 6.2000, 0.7900)",,casemate,,,,,"ignore_collision_check,ignore_parent",-70,70,,1,,
5,,inflex_hull_f/Visual/Sections/Middle1,270,"(-10.1800, 7.6000, 3.5200)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
6,,inflex_hull_f/Visual/Sections/Middle1,90,"(10.1800, 7.6000, 3.5200)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
7,,inflex_hull_f/Visual/Sections/Middle1,270,"(-10.1800, 7.6000, 0.7900)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
8,,inflex_hull_f/Visual/Sections/Middle1,90,"(10.1800, 7.6000, 0.7900)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
9,,inflex_hull_f/Visual/Sections/Middle1,270,"(-10.1800, 7.6000, -1.9400)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
10,,inflex_hull_f/Visual/Sections/Middle1,90,"(10.1800, 7.6000, -1.9400)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
11,,inflex_hull_f/Visual/Sections/Middle1,270,"(-7.5500, 10.4300, 3.5200)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
12,,inflex_hull_f/Visual/Sections/Middle1,90,"(7.5500, 10.4300, 3.5200)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
13,,inflex_hull_f/Visual/Sections/Middle1,270,"(-7.5500, 10.4300, 0.7900)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
14,,inflex_hull_f/Visual/Sections/Middle1,90,"(7.5500, 10.4300, 0.7900)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
15,,inflex_hull_f/Visual/Sections/Middle1,270,"(-7.5500, 10.4300, -1.9400)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
16,,inflex_hull_f/Visual/Sections/Middle1,90,"(7.5500, 10.4300, -1.9400)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
17,,inflex_hull_f/Visual/Sections/Middle1,0,"(0.0000, 7.4900, -2.5000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
18,,inflex_hull_f/Visual/Sections/Middle1,0,"(0.0000, 7.4900, -1.5000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
19,,inflex_hull_f/Visual/Sections/Middle1,0,"(0.0000, 7.4900, 3.5000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
20,,inflex_hull_f/Visual/Sections/Middle1,0,"(0.0000, 7.4900, -0.5000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
21,,inflex_hull_f/Visual/Sections/Middle1,0,"(0.0000, 7.4900, 0.5000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
22,,inflex_hull_f/Visual/Sections/Middle1,0,"(0.0000, 7.4900, 1.5000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
23,,inflex_hull_f/Visual/Sections/Middle1,0,"(0.0000, 7.4900, 2.5000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
# inflex_hull_f/Visual/Sections,,,,,,,,,,,,,,,,,
1,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 7.1300, 35.0800)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
2,,inflex_hull_f/Visual/Sections/Bow,225,"(-1.3300, 22.2400, 25.5000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
3,,inflex_hull_f/Visual/Sections/Bow,135,"(1.3300, 22.2400, 25.5000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
4,,inflex_hull_f/Visual/Sections/Bow,315,"(-1.3300, 22.2400, 27.6000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
5,,inflex_hull_f/Visual/Sections/Bow,45,"(1.3300, 22.2400, 27.6000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
6,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 18.6100)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
7,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 18.6100)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
8,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 22.3300)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
9,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 22.3300)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
10,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 26.0700)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
11,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 26.0700)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
12,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 44.7200)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
13,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 44.7200)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
14,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 40.9760)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
15,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 40.9760)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
16,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 37.2630)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
17,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 37.2630)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
18,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 33.5650)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
19,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 33.5650)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
20,,inflex_hull_f/Visual/Sections/Bow,270,"(-4.1000, 5.7260, 29.8200)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
21,,inflex_hull_f/Visual/Sections/Bow,90,"(4.1000, 5.7260, 29.8200)",,casemate,,5,,,casemate_ignore_collision,-17,16,,1,,
22,,inflex_hull_f/Visual/Sections/Bow,270,"(-11.3610, -1.4000, 21.8700)",,sub_torpedo,,,,,,-40,40,,1,,
23,,inflex_hull_f/Visual/Sections/Bow,90,"(11.3610, -1.4000, 21.8700)",,sub_torpedo,,,,,,-40,40,,1,,
24,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, -1.4000, 57.2400)",,sub_torpedo,,,,,,-7,7,,1,,
25,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 40.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
26,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 39.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
27,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 38.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
28,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 17.5400)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
29,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 18.5400)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
30,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 19.5400)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
31,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 20.5400)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
32,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 21.5400)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
33,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 22.5400)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
34,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 19.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
35,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 20.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
36,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 21.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
37,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 22.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
38,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 29.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
39,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 30.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
40,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 31.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
41,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 32.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
42,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 33.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
43,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 34.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
44,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 35.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
45,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 36.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
46,,inflex_hull_f/Visual/Sections/Bow,0,"(0.0000, 6.3680, 37.6300)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
1,,inflex_hull_f/Visual/Sections/Bow/Frontal,315,"(-7.6500, 6.2000, 11.5400)",,casemate,,,,,"ignore_collision_check,ignore_parent",-70,70,,1,,
2,,inflex_hull_f/Visual/Sections/Bow/Frontal,45,"(7.6500, 6.2000, 11.5400)",,casemate,,,,,"ignore_collision_check,ignore_parent",-70,70,,1,,
3,,inflex_hull_f/Visual/Sections/Bow/Frontal,315,"(-4.9800, 7.6000, 12.8100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
4,,inflex_hull_f/Visual/Sections/Bow/Frontal,315,"(-7.1800, 7.6000, 10.5100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
5,,inflex_hull_f/Visual/Sections/Bow/Frontal,315,"(-9.3800, 7.6000, 8.2100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
6,,inflex_hull_f/Visual/Sections/Bow/Frontal,45,"(4.9800, 7.6000, 12.8100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
7,,inflex_hull_f/Visual/Sections/Bow/Frontal,45,"(7.1800, 7.6000, 10.5100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
8,,inflex_hull_f/Visual/Sections/Bow/Frontal,45,"(9.3800, 7.6000, 8.2100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
9,,inflex_hull_f/Visual/Sections/Bow/Frontal,315,"(-6.2000, 10.4300, 7.0000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
10,,inflex_hull_f/Visual/Sections/Bow/Frontal,45,"(6.2000, 10.4300, 7.0000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
11,,inflex_hull_f/Visual/Sections/Bow/Frontal,0,"(0.0000, 10.4300, 9.5000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,1,,
12,,inflex_hull_f/Visual/Sections/Bow/Frontal,0,"(0.0000, 10.4300, 10.5000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,1,,
13,,inflex_hull_f/Visual/Sections/Bow/Frontal,0,"(0.0000, 10.4300, 11.5000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,1,,
14,,inflex_hull_f/Visual/Sections/Bow/Frontal,0,"(0.0000, 10.4300, 12.5000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,1,,
# inflex_hull_g,,,,,,,,,,,,,,,,,
# inflex_hull_g/Visual/Sections,,,,,,,,,,,,,,,,,
1,,inflex_hull_g/Visual/Sections/Stern,0,"(0.0000, 6.3680, -14.0700)",,funnel,,5,,,"ignore_collision_check,ignore_parent",,,,1,,
2,,inflex_hull_g/Visual/Sections/Stern,0,"(0.0000, 6.3680, -13.0700)",,funnel,,5,,,"ignore_collision_check,ignore_parent",,,,1,,
3,,inflex_hull_g/Visual/Sections/Stern,0,"(0.0000, 6.3680, -12.0700)",,funnel,,5,,,"ignore_collision_check,ignore_parent",,,,1,,
4,,inflex_hull_g/Visual/Sections/Stern,0,"(0.0000, 6.3680, -11.0700)",,funnel,,5,,,"ignore_collision_check,ignore_parent",,,,1,,
5,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 7.1300, -34.3400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent,ignore_expand",-130,130,,1,,
6,,inflex_hull_g/Visual/Sections/Stern,270,"(-3.0000, 6.3680, -45.8500)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
7,,inflex_hull_g/Visual/Sections/Stern,90,"(3.0000, 6.3680, -45.8500)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
8,,inflex_hull_g/Visual/Sections/Stern,270,"(-3.0000, 6.3680, -43.8500)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
9,,inflex_hull_g/Visual/Sections/Stern,90,"(3.0000, 6.3680, -43.8500)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
10,,inflex_hull_g/Visual/Sections/Stern,270,"(-3.0000, 6.3680, -41.8500)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
11,,inflex_hull_g/Visual/Sections/Stern,90,"(3.0000, 6.3680, -41.8500)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
12,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 7.7200, -11.2600)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
13,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 7.7200, -11.2600)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
14,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -11.2430)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
15,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -11.2430)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
16,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 7.7200, -27.1560)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check,ignore_expand,ignore_parent",-17,16,,1,,
17,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 7.7200, -27.1560)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check,ignore_expand,ignore_parent",-17,16,,1,,
18,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 7.7200, -23.3860)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check,ignore_expand,ignore_parent",-17,16,,1,,
19,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 7.7200, -23.3860)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check,ignore_expand,ignore_parent",-17,16,,1,,
20,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 7.7200, -18.7030)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check,ignore_expand,ignore_parent",-17,16,,1,,
21,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 7.7200, -18.7030)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check,ignore_expand,ignore_parent",-17,16,,1,,
22,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 7.7200, -15.0230)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
23,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 7.7200, -15.0230)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
24,,inflex_hull_g/Visual/Sections/Stern,228.8,"(-2.3700, 5.7260, -53.3530)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
25,,inflex_hull_g/Visual/Sections/Stern,131.2,"(2.3700, 5.7260, -53.3530)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
26,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -49.4330)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
27,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -49.4330)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
28,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -45.7230)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
29,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -45.7230)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
30,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -41.9830)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
31,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -41.9830)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
32,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -38.2560)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
33,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -38.2560)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
34,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -34.6060)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
35,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -34.6060)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
36,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -30.8160)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
37,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -30.8160)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
38,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -27.1560)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
39,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -27.1560)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
40,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -23.3860)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
41,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -23.3860)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
42,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -18.7030)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
43,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -18.7030)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
44,,inflex_hull_g/Visual/Sections/Stern,270,"(-4.1000, 5.7260, -15.0230)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
45,,inflex_hull_g/Visual/Sections/Stern,90,"(4.1000, 5.7260, -15.0230)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-17,16,,1,,
46,,inflex_hull_g/Visual/Sections/Stern,270,"(-11.3610, -1.4000, -20.9300)",,sub_torpedo,,,,,,-40,40,,1,,
47,,inflex_hull_g/Visual/Sections/Stern,90,"(11.3610, -1.4000, -20.9300)",,sub_torpedo,,,,,,-40,40,,1,,
48,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 6.3680, -37.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
49,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 6.3680, -36.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
50,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 6.3680, -35.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
51,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 6.3680, -34.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
52,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 6.3680, -33.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
53,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 6.3680, -32.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
54,,inflex_hull_g/Visual/Sections/Stern,180,"(0.0000, 6.3680, -31.5400)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
55,,inflex_hull_g/Visual/Sections/Stern,225,"(-1.3300, 22.2400, -19.4000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
56,,inflex_hull_g/Visual/Sections/Stern,135,"(1.3300, 22.2400, -19.4000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
57,,inflex_hull_g/Visual/Sections/Stern,315,"(-1.3300, 22.2400, -17.3000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
58,,inflex_hull_g/Visual/Sections/Stern,45,"(1.3300, 22.2400, -17.3000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
1,,inflex_hull_g/Visual/Sections/Stern/BackExtra,225,"(-7.6500, 6.2000, -5.2800)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-70,70,,1,,
2,,inflex_hull_g/Visual/Sections/Stern/BackExtra,135,"(7.6500, 6.2000, -5.2800)",,casemate,,5,,,"casemate_ignore_collision,ignore_collision_check",-70,70,,1,,
3,,inflex_hull_g/Visual/Sections/Stern/BackExtra,225,"(-4.6300, 7.6000, -6.7100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
4,,inflex_hull_g/Visual/Sections/Stern/BackExtra,225,"(-6.8800, 7.6000, -4.4600)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
5,,inflex_hull_g/Visual/Sections/Stern/BackExtra,225,"(-9.0800, 7.6000, -2.1600)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
6,,inflex_hull_g/Visual/Sections/Stern/BackExtra,135,"(4.6300, 7.6000, -6.7100)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
7,,inflex_hull_g/Visual/Sections/Stern/BackExtra,135,"(6.8800, 7.6000, -4.4600)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
8,,inflex_hull_g/Visual/Sections/Stern/BackExtra,135,"(9.0800, 7.6000, -2.1600)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
9,,inflex_hull_g/Visual/Sections/Stern/BackExtra,270,"(-10.1800, 7.6000, 0.2900)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
10,,inflex_hull_g/Visual/Sections/Stern/BackExtra,90,"(10.1800, 7.6000, 0.2900)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
11,,inflex_hull_g/Visual/Sections/Stern/BackExtra,225,"(-6.2000, 10.4300, -1.5000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
12,,inflex_hull_g/Visual/Sections/Stern/BackExtra,135,"(6.2000, 10.4300, -1.5000)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
13,,inflex_hull_g/Visual/Sections/Stern/BackExtra,180,"(0.0000, 10.4300, -6.0300)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
14,,inflex_hull_g/Visual/Sections/Stern/BackExtra,180,"(0.0000, 10.4300, -5.0300)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
15,,inflex_hull_g/Visual/Sections/Stern/BackExtra,180,"(0.0000, 10.4300, -4.0300)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
16,,inflex_hull_g/Visual/Sections/Stern/BackExtra,180,"(0.0000, 10.4300, -3.0300)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
# inflex_hull_g/Visual/Sections,,,,,,,,,,,,,,,,,
1,,inflex_hull_g/Visual/Sections/Middle1,270,"(-11.3610, -1.4000, 3.1000)",,sub_torpedo,,,,,,-40,40,,1,,
2,,inflex_hull_g/Visual/Sections/Middle1,90,"(11.3610, -1.4000, 3.1000)",,sub_torpedo,,,,,,-40,40,,1,,
3,,inflex_hull_g/Visual/Sections/Middle1,270,"(-10.1800, 7.6000, 3.0200)",side,barbette,,5,,,"ignore_collision_check,ignore_parent",-75,77,,1,,
